Unnamed: 0,"BỘ CÂU HỎI TRẮC NGHIỆM THI NÂNG GIỮ BẬC VÀ SÁT HẠCH NGHIỆP VỤ NĂM 2024
Lĩnh vực: CNTT
 (50 CÂU ATTT)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
PHÂN LOẠI,NỘI DUNG CÂU HỎI,ĐÁP ÁN,HÌNH ẢNH,CHO ĐẢO CÂU HỎI,CÓ CÂU HỎI CON
Q,An toàn dữ liệu có thể hiểu là:,,,,
A,Dễ dàng cho công việc bảo trì dữ liệu.,,,,
A,"Ngăn chặn các truy cập trái phép, sai quy định từ trong ra hoặc từ ngoài vào .",X,,,
A,"Thống nhất các tiêu chuẩn, thủ tục và các biện pháp bảo vệ, an toàn dữ liệu.",,,,
A,Tính nhất quán và toàn vẹn dữ liệu.,,,,
Q,Các cách nào sau đây phòng tránh máy tính bị lây nhiễm bởi mã độc tống tiền?,,,,
A,Không mở các thư điện tử hay tệp tin đính kèm đáng ngờ .,X,,,
A,"Sử dụng phần mềm lậu, phần mềm không rõ nguồn gốc.",,,,
A,Sao lưu dữ liệu quan trọng thường xuyên sang ổ cứng ngoài hoặc các dịch vụ lưu trữ đám mây.,,,,
A,Luôn cập nhật trình duyệt và các ứng dụng của máy tính.,,,,
Q,Các rủi ro xuất phát từ con người chiếm bao nhiêu %,,,,
A,50,,,,
A,80,,,,
A,100,,,,
A,95,X,,,
Q,Các nguy cơ nào sau đây tạo điều kiện cho các hoạt động gây mất an toàn thông tin ?,,,,
A,"Làm việc từ xa, ít có cơ hội nhận biết các đối tượng hacker đang theo dõi mình.",,,,
A,Các hacker ngày càng xuất hiện nhiều.,,,,
A,"Thiếu nhận thức về an toàn thông tin; Làm việc từ xa, phải đăng tải các tài liệu, dữ liệu, thông tin lên mạng; Các hacker ngày càng xuất hiện nhiều .",X,,,
A,Không có đội ngũ chuyên gia chuyên trách đảm bảo an toàn thông tin mạng.,,,,
Q,"Theo bạn, đâu là các biện pháp đảm bảo an ninh thông tin đối với thiết bị cá nhân.",,,,
A,"Đặt mật khẩu dài và khó đoán bao gồm cả số và chữ, kí hiệu đặc biệt.",,,,
A,"Không nhấn vào các đường link lạ, file đính kèm đang nghi ngờ, thư rác hay các mail được nhắn từ các tài khoản không có tên miền cụ thể.",,,,
A,Không cho người khác sử dụng thiết bị cá nhân có chứa nhiều thông tin quan trọng.,,,,
A,Tất cả các phương án trên,X,,,
Q,"Theo bạn, các vấn đề nào sau đây không phải là nguy cơ gây mất an toàn thông tin đối với thiết bị cá nhân.",,,,
A,Xác thực tài khoản email 2 bước và dự phòng email.,,,,
A,"Không nhấn vào các đường link lạ, file đính kèm đang nghi ngờ, thư rác; Xác thực tài khoản email 2 bước và dự phòng email; Hạn chế sử dụng Wifi công cộng để đăng nhập vào các tài khoản cá nhân .",X,,,
A,Hạn chế sử dụng Wifi công cộng để đăng nhập vào các tài khoản cá nhân.,,,,
A,"Không nhấn vào các đường link lạ, file đính kèm đang nghi ngờ, thư rác.",,,,
Q,An toàn mạng theo nghĩa là bảo vệ và đảm bảo an toàn:,,,,
A,Kho dữ liệu.,,,,
A,Phần mềm trên mạng.,,,,
A,Phần cứng của mạng.,,,,
A,Tài nguyên mạng,X,,,
Q,Độ dài của mật khẩu mạnh nên ở mức nào?,,,,
A,6 kí tự.,,,,
A,8 kí tự.,,,,
A,"Đối với tài khoản thông thường, mật khẩu cần có độ dài từ 8 đến 11 ký tự, bao gồm cả chữ và số; Đối với tài khoản có tính chất quan trọng, mật khẩu cần có độ dài trên 15 ký tự, bao gồm cả chữ hoa, chữ thường và số .",X,,,
A,Dài ngắn đều được.,,,,
Q,Các nguyên tắc cài đặt mật khẩu là gì?,,,,
A,Tạo một mật khẩu mạnh và thay đổi chúng cứ mỗi 6-12 tháng.,,,,
A,"Dùng phần mềm lưu mật khẩu chuyên dùng như 1 password. Không nên lưu mật khẩu quan trọng (mật khẩu quản trị, mật khẩu internet banking…) trên trình duyệt máy tính hoặc điện thoại.",,,,
A,Không bao giờ được giữ một bản sao mật khẩu trên điện thoại đang dùng.,,,,
A,"Tạo một mật khẩu mạnh và thay đổi chúng sau mỗi 90 ngày; Không bao giờ được giữ một bản sao mật khẩu trên điện thoại đang dùng; Dùng phần mềm lưu mật khẩu chuyên dùng như 1password. Không nên lưu mật khẩu quan trọng (mật khẩu quản trị, mật khẩu internet banking…) trên trình duyệt máy tính hoặc điện thoại .",X,,,
Q,Tác dụng của mật khẩu mạnh?,,,,
A,"Bảo vệ email, tệp và các nội dung khác.",,,,
A,Ngăn người khác xâm nhập vào tài khoản.,,,,
A,"Bảo vệ thông tin cá nhân, email, tệp và các nội dung khác, ngăn người khác xâm nhập vào tài khoản",X,,,
A,Bảo vệ thông tin cá nhân.,,,,
Q,Các hình thức Spam Email thường gặp là gì?,,,,
A,Kẻ gian sẽ nhúng liên kết trong một email chuyển hướng bạn tới một trang web không an toàn.,,,,
A,Kẻ gian sẽ giả mạo địa chỉ email để xuất hiện như một nguồn tin cậy.,,,,
A,Kẻ gian sẽ đặt mã độc trong tập tin đính kèm email hoặc quảng cáo được gửi vào mail của bạn.,,,,
A,Tất cả các đáp án đều đúng,X,,,
Q,Phising là một phương thức tấn công đánh cắp thông tin. Phương thức tấn công này cố gắng thu thập thông tin gì?,,,,
A,Tên tài khoản và mật khẩu.,,,,
A,Thông tin thẻ tín dụng.,,,,
A,"Thông tin cá nhân, thẻ ngân hàng, các tài khoản, mật khẩu và các thông tin khác",X,,,
A,Thông tin cá nhân.,,,,
Q,Các dấu hiệu nào sau đây cho thấy tài khoản đã và có khả năng bị tấn công phising?,,,,
A,Các email vô danh được gửi tới tài khoản có đính kèm theo các link liên kết và tệp đính kèm.,,,,
A,Các thông tin cá nhân bị rao bán hoặc đăng tải trên các chợ đen hoặc trên mạng xã hội.,,,,
A,Các lỗ hổng trong giao dịch có liên kết internet banking dẫn người giao dịch đến các trang web khai báo thông tin.,,,,
A,Tất cả các đáp án đều đúng,X,,,
Q,"Theo bạn, các vấn đề nào là nguy cơ bảo mật khi bị nhiễm virus?",,,x,
A,"Lộ lọt, mất thông tin cá nhân.",,,,
A,"Lộ lọt, mất thông tin cá nhân; Tạo điều kiện cho tấn công từ chối dịch vụ (DoS); Giảm hiệu suất máy tính, khiến máy tính hoạt động chậm hơn, tiêu tốn dữ liệu trong máy tính .",X,,,
A,Tạo điều kiện cho tấn công từ chối dịch vụ (DoS).,,,,
A,"Giảm hiệu suất máy tính, khiến máy tính hoạt động chậm hơn, tiêu tốn dữ liệu trong máy tính.",,,,
Q,Khi máy bị nhiễm Virus phương án nào sau đây là an toàn nhất ?,,,,
A,FORMAT lại đĩa.,,,,
A,Sao lưu dữ liệu sau đó dùng các chương trình diệt VIRUS .,X,,,
A,Ngay lập tức dùng luôn các chương trình diệt VIRUS.,,,,
A,Tất cả các đáp án đều đúng,,,,
Q,“An ninh mạng” là gì?,,,,
A,"Là sự giám sát hoạt động trên không gian mạng không gây phương hại đến an ninh quốc gia, trật tự, an toàn xã hội, quyền và lợi ích hợp pháp của cơ quan, tổ chức, cá nhân.",,,,
A,"Là sự kiểm tra hoạt động trên không gian mạng không gây phương hại đến an ninh quốc gia, trật tự, an toàn xã hội, quyền và lợi ích hợp pháp của cơ quan, tổ chức, cá nhân.",,,,
A,"Là sự bảo đảm hoạt động trên không gian mạng không gây phương hại đến an ninh quốc gia, trật tự, an toàn xã hội, quyền và lợi ích hợp pháp của cơ quan, tổ chức, cá nhân .",X,,,
A,"Là sự phòng ngừa, phát hiện, ngăn chặn, xử lý hành vi xâm phạm an ninh mạng.",,,,
Q,"Khi đăng nhập vào tài khoản cá nhân trên các máy tính công cộng hoặc thiết bị laptop, việc nên làm để đảm bảo an toàn thông tin là:",,,,
A,Để chế độ tự động đăng nhập để thuận tiện cho lần sau.,,,,
A,Không để chế độ ghi nhớ mật khẩu; và thực hiện đăng xuất tài khoản sau khi sử dụng,X,,,
A,Không cần phải thoát tài khoản sau khi sử dụng.,,,,
A,Để chế độ ghi nhớ mật khẩu.,,,,
Q,Trách nhiệm của cá nhân người lao động tại EVN trong hoạt động đảm bảo an toàn thông tin (ATTT):,,,,
A,"Thông báo các nguy cơ, vấn đề bất thường, sự cố liên quan tới ATTT cho bộ phận chuyên trách về ATTT của đơn vị.",,,,
A,"Khi chuyển đổi thiết bị CNTT phải hủy dữ liệu ở trang thiết bị cũ, đảm bảo thông tin, dữ liệu không thể khôi phục lại.",,,,
A,"Chịu trách nhiệm trước pháp luật và đơn vị về các vi phạm gây lộ lọt, thất thoát dữ liệu mật của EVN hoặc đơn vị.",,,,
A,Tất cả các đáp án đúng,X,,,
Q,Cách tốt nhất để hạn chế việc bị đánh cắp thông tin cá nhân trên mạng xã hội là gì?,,,,
A,Chỉ cần cài đặt chế độ quyền riêng tư là yên tâm.,,,,
A,"Khai, đăng các thông tin giả lên mạng xã hội.",,,,
